Quartieri e Zone;1986;1987;1988;1989;;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
1. Borgo Panigale;6.952;6.686;6.407;6.046;;5.760;5.488;5.282;5.087;4.841;4.625;4.464;4.367;4.265;4.123;4.030;4.016;4.019;4.044;4.104;4.112;4.177;4.247;4.410;4.525;4.717;4.808
2. Navile;16.937;16.352;15.705;14.988;;14.358;13.858;13.355;12.982;12.406;11.952;11.705;11.592;11.203;11.042;10.946;10.878;10.883;10.992;11.081;11.156;11.223;11.364;11.750;12.108;12.516;12.905
     21. Bolognina;8.145;7.719;7.384;7.083;;6.772;6.572;6.262;6.048;5.711;5.488;5.436;5.430;5.261;5.178;5.229;5.195;5.229;5.307;5.341;5.425;5.485;5.594;5.869;6.077;6.368;6.618
     22. Corticella;4.448;4.295;4.128;3.873;;3.707;3.581;3.535;3.527;3.415;3.350;3.308;3.273;3.194;3.158;3.090;3.074;3.055;3.059;3.095;3.094;3.091;3.141;3.210;3.265;3.361;3.453
     23. Lame;4.344;4.338;4.193;4.032;;3.879;3.705;3.558;3.407;3.280;3.114;2.961;2.889;2.748;2.706;2.627;2.609;2.599;2.626;2.645;2.637;2.647;2.629;2.671;2.766;2.787;2.834
3. Porto;8.071;7.702;7.340;7.064;;6.740;6.457;6.146;5.827;5.690;5.506;5.369;5.268;5.225;5.339;5.268;5.162;4.995;4.909;4.907;4.859;4.866;4.924;5.029;5.116;5.194;5.323
     31. Marconi;3.434;3.310;3.159;3.043;;2.958;2.839;2.711;2.574;2.500;2.430;2.398;2.396;2.349;2.367;2.341;2.303;2.225;2.215;2.208;2.173;2.206;2.216;2.270;2.250;2.276;2.279
     32. Saffi;4.637;4.392;4.181;4.021;;3.782;3.618;3.435;3.253;3.190;3.076;2.971;2.872;2.876;2.972;2.927;2.859;2.770;2.694;2.699;2.686;2.660;2.708;2.759;2.866;2.918;3.044
4. Reno;9.220;8.711;8.278;7.769;;7.407;6.908;6.465;6.041;5.673;5.384;5.127;4.915;4.752;4.744;4.828;4.864;4.835;4.976;5.124;5.246;5.342;5.510;5.731;5.956;6.084;6.323
     41. Barca;6.278;5.869;5.527;5.177;;4.897;4.586;4.295;3.973;3.713;3.540;3.368;3.191;3.101;3.057;3.052;3.049;3.001;3.089;3.171;3.255;3.278;3.435;3.597;3.733;3.781;3.891
     42. Santa Viola;2.942;2.842;2.751;2.592;;2.510;2.322;2.170;2.068;1.960;1.844;1.759;1.724;1.651;1.687;1.776;1.815;1.834;1.887;1.953;1.991;2.064;2.075;2.134;2.223;2.303;2.432
5. San Donato;9.733;9.224;8.778;8.318;;7.909;7.498;7.040;6.599;6.225;5.934;5.707;5.462;5.288;5.178;5.095;5.012;5.089;5.116;5.168;5.241;5.298;5.361;5.508;5.644;5.747;5.925
6. Santo Stefano;12.938;12.481;12.021;11.538;;11.106;10.691;10.305;9.924;9.670;9.500;9.277;9.051;8.983;8.939;9.071;9.044;9.101;9.156;9.299;9.352;9.466;9.541;9.632;9.788;9.886;9.992
     61. Colli;2.133;2.121;2.091;1.990;;1.964;1.952;1.928;1.846;1.770;1.752;1.732;1.675;1.630;1.677;1.851;1.879;2.002;2.009;2.046;1.999;1.978;1.994;2.007;2.044;2.091;2.090
     62. Galvani;3.166;3.088;3.003;2.963;;2.864;2.696;2.609;2.562;2.556;2.539;2.472;2.489;2.450;2.408;2.424;2.358;2.278;2.315;2.332;2.329;2.397;2.422;2.424;2.437;2.430;2.418
     63. Murri;7.639;7.272;6.927;6.585;;6.278;6.043;5.768;5.516;5.344;5.209;5.073;4.887;4.903;4.854;4.796;4.807;4.821;4.832;4.921;5.024;5.091;5.125;5.201;5.307;5.365;5.484
7. San Vitale;10.522;10.174;9.840;9.492;;9.118;8.888;8.680;8.560;8.294;8.059;8.039;7.996;8.000;7.826;7.854;7.861;7.702;7.787;7.824;7.982;8.112;8.179;8.283;8.406;8.482;8.664
     71. Irnerio;3.186;3.115;2.994;2.929;;2.825;2.785;2.702;2.665;2.630;2.489;2.433;2.485;2.480;2.440;2.467;2.486;2.403;2.359;2.345;2.339;2.360;2.335;2.340;2.298;2.276;2.298
     72. San Vitale;7.336;7.059;6.846;6.563;;6.293;6.103;5.978;5.895;5.664;5.570;5.606;5.511;5.520;5.386;5.387;5.375;5.299;5.428;5.479;5.643;5.752;5.844;5.943;6.108;6.206;6.366
8. Saragozza;8.719;8.428;8.097;7.771;;7.449;7.187;6.909;6.602;6.434;6.225;6.070;6.013;5.979;5.960;5.956;5.930;5.841;5.912;5.922;6.028;6.047;5.956;6.056;6.141;6.235;6.399
     81. Costa Saragozza;6.062;5.832;5.589;5.386;;5.150;4.945;4.730;4.498;4.378;4.210;4.081;4.027;3.972;3.927;3.928;3.910;3.912;3.946;3.970;4.073;4.100;4.049;4.154;4.250;4.350;4.477
     82. Malpighi;2.657;2.596;2.508;2.385;;2.299;2.242;2.179;2.104;2.056;2.015;1.989;1.986;2.007;2.033;2.028;2.020;1.929;1.966;1.952;1.955;1.947;1.907;1.902;1.891;1.885;1.922
9. Savena;18.148;17.311;16.472;15.635;;14.768;13.954;13.342;12.635;11.823;11.224;10.831;10.401;10.044;9.774;9.613;9.499;9.353;9.332;9.455;9.536;9.619;9.704;9.841;9.973;10.252;10.422
     91. Mazzini;11.876;11.317;10.788;10.254;;9.622;9.070;8.696;8.226;7.667;7.263;7.010;6.667;6.365;6.176;6.011;5.927;5.796;5.732;5.782;5.845;5.880;5.972;6.096;6.213;6.458;6.523
     92. San Ruffillo;6.272;5.994;5.684;5.381;;5.146;4.884;4.646;4.409;4.156;3.961;3.821;3.734;3.679;3.598;3.602;3.572;3.557;3.600;3.673;3.691;3.739;3.732;3.745;3.760;3.794;3.899
ZZ. Senza fissa dimora;93;97;107;89;;68;8;5;;1;5;7;10;11;33;6;4;10;3;4;5;5;9;4;9;13;14
