Quartieri e zone;1986;1987;1988;1989;1990;1991 (a);1992 (a);1993;1994;1995;1996;1997;1998;1999;2000;2001 (a);2002 (a);2003;2004;2005;2006;2007;2008;2009;2010;2011
1. Borgo Panigale;27.652;27.235;26.909;26.480;26.097;25.774;25.629;25.320;25.024;24.686;24.628;24.440;24.282;24.160;24.110;24.171;24.128;24.347;24.464;24.417;24.407;24.456;24.736;24.935;25.279;25.350
2. Navile;69.526;69.144;68.343;67.660;67.069;66.576;66.257;65.814;65.126;64.882;64.895;65.068;64.477;64.456;64.261;64.107;63.590;63.775;64.066;63.813;63.670;63.811;64.593;65.262;66.162;66.965
     21. Bolognina;38.060;37.404;36.798;36.398;36.001;35.628;35.142;34.553;33.761;33.344;33.276;33.191;32.813;32.591;32.492;32.296;32.105;32.143;32.286;32.249;32.131;32.203;32.751;33.183;33.941;34.524
     22. Corticella;16.721;16.590;16.437;16.200;16.072;15.977;16.277;16.635;16.787;17.067;17.246;17.510;17.457;17.617;17.598;17.639;17.495;17.487;17.448;17.306;17.196;17.327;17.486;17.590;17.664;17.847
     23. Lame;14.745;15.150;15.108;15.062;14.996;14.971;14.838;14.626;14.578;14.471;14.373;14.367;14.207;14.248;14.171;14.172;13.990;14.145;14.332;14.258;14.343;14.281;14.356;14.489;14.557;14.594
3. Porto;38.406;37.620;37.048;36.737;36.112;35.605;34.783;34.169;33.878;33.408;33.272;33.215;33.178;33.266;32.992;32.775;31.967;31.639;31.707;31.412;31.418;31.218;31.407;31.565;31.835;32.103
     31. Marconi;16.734;16.437;16.053;15.859;15.681;15.447;15.039;14.820;14.747;14.632;14.676;14.782;14.693;14.753;14.632;14.507;14.048;13.977;14.122;14.030;14.071;13.950;14.021;14.005;14.139;14.189
     32. Saffi;21.672;21.183;20.995;20.878;20.431;20.158;19.744;19.349;19.131;18.776;18.596;18.433;18.485;18.513;18.360;18.268;17.919;17.662;17.585;17.382;17.347;17.268;17.386;17.560;17.696;17.914
4. Reno;36.659;36.138;35.658;35.101;34.615;34.075;33.443;32.798;32.259;31.753;31.416;31.379;31.350;31.518;32.095;32.186;31.861;32.028;32.307;32.422;32.473;32.500;32.990;33.307;33.572;33.796
     41. Barca;24.045;23.611;23.296;22.879;22.496;22.109;21.748;21.328;20.961;20.652;20.493;20.497;20.437;20.458;20.602;20.592;20.264;20.291;20.368;20.303;20.206;20.298;20.617;20.786;20.839;20.912
     42. Santa Viola;12.614;12.527;12.362;12.222;12.119;11.966;11.695;11.470;11.298;11.101;10.923;10.882;10.913;11.060;11.493;11.594;11.597;11.737;11.939;12.119;12.267;12.202;12.373;12.521;12.733;12.884
5. San Donato;37.578;37.129;36.717;36.247;35.936;35.432;34.605;33.736;33.066;32.627;32.274;31.957;31.741;31.596;31.348;31.220;30.984;31.028;30.923;30.792;30.796;30.862;31.006;31.188;31.340;31.661
6. Santo Stefano;58.557;57.766;57.051;56.500;55.701;54.806;53.792;52.970;52.543;52.103;51.890;51.564;51.338;51.188;50.966;50.702;49.916;49.721;49.718;49.604;49.337;49.155;49.325;49.616;49.766;49.996
     61. Colli;8.686;8.740;8.715;8.595;8.593;8.589;8.522;8.351;8.171;8.147;8.158;8.075;8.045;8.066;8.324;8.413;8.409;8.475;8.460;8.351;8.247;8.256;8.262;8.332;8.438;8.443
     62. Galvani;15.226;15.015;14.919;14.845;14.626;14.264;13.919;13.857;13.959;13.947;13.978;14.031;13.934;13.836;13.744;13.627;13.262;13.139;13.143;13.186;13.221;13.170;13.144;13.133;13.118;13.162
     63. Murri;34.645;34.011;33.417;33.060;32.482;31.953;31.351;30.762;30.413;30.009;29.754;29.458;29.359;29.286;28.898;28.662;28.245;28.107;28.115;28.067;27.869;27.729;27.919;28.151;28.210;28.391
7. San Vitale;49.271;48.783;48.394;47.951;47.496;47.135;46.846;46.713;46.474;46.182;46.443;46.617;46.852;46.747;46.599;46.274;45.543;45.761;46.123;46.434;46.567;46.497;46.746;47.012;47.282;47.700
     71. Irnerio;15.545;15.413;15.141;15.052;14.997;14.920;14.524;14.368;14.349;14.176;14.189;14.348;14.351;14.317;14.311;14.195;13.820;13.712;13.849;13.893;13.920;13.885;13.929;13.911;13.966;13.921
     72. San Vitale;33.726;33.370;33.253;32.899;32.499;32.215;32.322;32.345;32.125;32.006;32.254;32.269;32.501;32.430;32.288;32.079;31.723;32.049;32.274;32.541;32.647;32.612;32.817;33.101;33.316;33.779
8. Saragozza;42.377;41.854;41.168;40.753;40.189;39.641;38.910;38.180;37.889;37.473;37.490;37.334;37.280;37.140;36.946;36.646;36.066;36.023;36.017;36.041;35.797;35.634;35.896;36.047;36.344;36.438
     81. Costa Saragozza;28.725;28.323;27.861;27.591;27.154;26.789;26.273;25.738;25.459;25.252;25.152;24.988;24.860;24.634;24.395;24.158;23.884;23.864;23.806;23.776;23.556;23.482;23.742;23.931;24.110;24.208
     82. Malpighi;13.652;13.531;13.307;13.162;13.035;12.852;12.637;12.442;12.430;12.221;12.338;12.346;12.420;12.506;12.551;12.488;12.182;12.159;12.211;12.265;12.241;12.152;12.154;12.116;12.234;12.230
9. Savena;71.898;70.999;70.273;69.373;68.160;67.216;66.569;65.262;64.164;63.358;62.797;62.143;61.464;60.999;60.605;60.225;59.479;59.162;59.042;58.744;58.502;58.057;58.189;58.216;58.499;58.624
     91. Mazzini;46.032;45.488;45.002;44.483;43.578;43.015;42.775;42.046;41.266;40.649;40.251;39.797;39.285;39.053;38.829;38.589;38.080;37.830;37.749;37.541;37.372;37.127;37.298;37.311;37.628;37.699
     92. San Ruffillo;25.866;25.511;25.271;24.890;24.582;24.201;23.794;23.216;22.898;22.709;22.546;22.346;22.179;21.946;21.776;21.636;21.399;21.332;21.293;21.203;21.130;20.930;20.891;20.905;20.871;20.925
ZZ. Senza fissa dimora;482;572;643;608;428;31;24;7;11;19;31;44;44;91;42;50;58;55;58;64;59;66;56;72;102;151
